Player,Pos,Pos Rank,ESPN,Sleeper,NFL,RTSPORTS,AVG Draft Position,year
Marquise Brown,WR,WR35,81,79,117,88,91.3,2023
Jahan Dotson,WR,WR36,94,90,101,82,91.8,2023
Tua Tagovailoa,QB,QB11,101,92,72,109,93.5,2023
Jordan Addison,WR,WR37,102,85,102,86,93.8,2023
A.J. Dillon,RB,RB32,96,93,105,84,94.5,2023
Brandin Cooks,WR,WR38,88,97,103,92,95,2023
Pat Freiermuth,TE,TE10,82,84,126,89,95.3,2023
Jaxon Smith-Njigba,WR,WR39,99,81,114,96,97.5,2023
Khalil Herbert,RB,RB33,91,105,122,78,99,2023
Aaron Rodgers,QB,QB12,93,94,98,122,101.8,2023
Jamaal Williams,RB,RB34,113,104,108,90,103.8,2023
Philadelphia Eagles,DS,DST2,142,96,65,121,106,2023
Courtland Sutton,WR,WR40,92,118,127,87,106,2023
Michael Thomas,WR,WR41,104,95,120,106,106.3,2023
Odell Beckham,WR,WR42,103,109,99,114,106.3,2023
Gabe Davis,WR,WR43,118,101,112,102,108.3,2023
Buffalo Bills,DS,DST3,97,117,70,150,108.5,2023
Brian Robinson,RB,RB35,100,102,150,85,109.3,2023
JuJu Smith-Schuster,WR,WR44,115,106,113,103,109.3,2023
Kirk Cousins,QB,QB13,85,111,124,119,109.8,2023
Antonio Gibson,RB,RB36,112,98,160,80,112.5,2023
Treylon Burks,WR,WR45,116,107,107,126,114,2023
Daniel Carlson,K2,K2,111,124,79,143,114.3,2023
Zay Flowers,WR,WR46,110,100,143,107,115,2023
Kadarius Toney,WR,WR47,154,99,90,124,116.8,2023
Zach Charbonnet,RB,RB37,138,114,119,101,118,2023
Dallas Cowboys,DS,DST4,109,108,125,131,118.3,2023
Samaje Perine,RB,RB38,121,123,131,99,118.5,2023
Anthony Richardson,QB,QB14,125,113,118,125,120.3,2023
Dalton Schultz,TE,TE11,120,112,115,135,120.5,2023
Daniel Jones,QB,QB15,114,141,123,105,120.8,2023
New York,DS,DST5,128,121,74,166,122.3,2023
Geno Smith,QB,QB16,124,131,116,128,124.8,2023
Quentin Johnston,WR,WR48,126,103,135,137,125.3,2023
Jerick McKinnon,RB,RB39,127,129,133,112,125.3,2023
Dalton Kincaid,TE,TE12,131,120,144,113,127,2023
Skyy Moore,WR,WR49,98,130,185,97,127.5,2023
New England,DS,DST6,141,144,78,151,128.5,2023
Tyler Bass,K3,K3,136,128,104,148,129,2023
Cole Kmet,TE,TE13,105,119,139,155,129.5,2023
Evan McPherson,K4,K4,106,110,141,164,130.3,2023
Harrison Butker,K5,K5,108,116,142,168,133.5,2023
Ezekiel Elliott,RB,RB40,130,125,166,118,134.8,2023
Raheem Mostert,RB,RB41,122,140,180,98,135,2023
Tyler Higbee,TE,TE14,117,135,151,142,136.3,2023
Jason Myers,K6,K6,144,151,82,170,136.8,2023
De'Von Achane,RB,RB42,180,132,140,95,136.8,2023
Adam Thielen,WR,WR50,137,127,158,127,137.3,2023
Baltimore Ravens,DS,DST7,167,138,87,163,138.8,2023
Jared Goff,QB,QB17,153,148,134,120,138.8,2023
Younghoe Koo,K7,K7,152,133,85,186,139,2023
Rashaad Penny,RB,RB43,129,115,202,115,140.3,2023
Elijah Mitchell,RB,RB44,148,139,157,117,140.3,2023
Pittsburgh Steelers,DS,DST8,95,142,137,192,141.5,2023
Allen Lazard,WR,WR51,160,126,154,134,143.5,2023
Miami Dolphins,DS,DST9,123,147,96,217,145.8,2023
Juwan Johnson,TE,TE15,162,195,100,132,147.3,2023
Russell Wilson,QB,QB18,135,167,132,158,148,2023
Jakobi Meyers,WR,WR52,119,153,176,152,150,2023
Elijah Moore,WR,WR53,145,122,227,110,151,2023
Rashod Bateman,WR,WR54,197,143,111,157,152,2023
New Orleans,DS,DST10,107,157,170,182,154,2023
Jameson Williams,WR,WR55,190,136,130,160,154,2023
Chig Okonkwo,TE,TE16,156,146,169,147,154.5,2023
Graham Gano,K8,K8,132,162,97,230,155.3,2023
Tyler Boyd,WR,WR56,151,145,149,179,156,2023
Devin Singletary,RB,RB45,150,171,167,149,159.3,2023
Tyler Allgeier,RB,RB46,158,154,188,140,160,2023
Jake Elliott,K9,K9,133,134,168,209,161,2023
Gerald Everett,TE,TE17,159,173,121,195,162,2023
Jaylen Warren,RB,RB47,149,160,242,100,162.8,2023
Derek Carr,QB,QB19,164,166,161,162,163.3,2023
Damien Harris,RB,RB48,181,149,205,123,164.5,2023
Jalin Hyatt,WR,WR57,201,163,148,153,166.3,2023
Kansas City,DS,DST11,183,169,110,204,166.5,2023
Brock Purdy,QB,QB20,163,158,156,191,167,2023
Sam LaPorta,TE,TE18,170,152,206,145,168.3,2023
Kenny Pickett,QB,QB21,155,181,183,154,168.3,2023
Tank Bigsby,RB,RB49,173,137,258,111,169.8,2023
Zay Jones,WR,WR58,177,168,174,174,173.3,2023
Darnell Mooney,WR,WR59,140,155,229,172,174,2023
Nico Collins,WR,WR60,146,185,224,141,174,2023
Greg Dulcich,TE,TE19,195,170,163,176,176,2023
Matthew Stafford,QB,QB22,165,209,147,194,178.8,2023
Washington Commanders,DS,DST12,175,176,179,189,179.8,2023
Deuce Vaughn,RB,RB50,191,159,209,161,180,2023
Romeo Doubs,WR,WR61,193,165,234,129,180.3,2023
Cincinnati Bengals,DS,DST13,172,201,128,222,180.8,2023
Bryce Young,QB,QB23,176,174,155,228,183.3,2023
Rondale Moore,WR,WR62,134,177,271,156,184.5,2023
Green Bay,DS,DST14,161,184,153,251,187.3,2023
Kenneth Gainwell,RB,RB51,192,180,248,130,187.5,2023
Jordan Love,QB,QB24,179,189,189,199,189,2023
Michael Gallup,WR,WR63,143,188,198,231,190,2023
Jonathan Mingo,WR,WR64,210,172,195,184,190.3,2023
Cameron Dicker,K1,K10,171,178,232,181,190.5,2023
Dawson Knox,TE,TE20,185,164,152,266,191.8,2023
K.J. Osborn,WR,WR65,169,213,220,167,192.3,2023
Matt Gay,K1,K11,166,190,171,248,193.8,2023
Jacksonville Jaguars,DS,DST15,253,197,159,169,194.5,2023
Roschon Johnson,RB,RB52,184,194,269,133,195,2023
Brandon McManus,K1,K12,240,156,193,197,196.5,2023
Zach Ertz,TE,TE21,157,216,199,223,198.8,2023
Denver Broncos,DS,DST16,204,200,172,219,198.8,2023
Cleveland Browns,DS,DST17,139,226,191,243,199.8,2023
Seattle Seahawks,DS,DST18,223,179,177,221,200,2023
DJ Chark,WR,WR66,147,199,228,227,200.3,2023
Sam Howell,QB,QB25,200,229,187,185,200.3,2023
Luke Musgrave,TE,TE22,205,202,213,183,200.8,2023
Kyler Murray,QB,QB26,194,198,182,232,201.5,2023
D'Onta Foreman,RB,RB53,,175,201,136,170.7,2023
Jeff Wilson,RB,RB54,168,,138,211,172.3,2023
Taysom Hill,TE,TE23,199,192,175,265,207.8,2023
Kendre Miller,RB,RB55,,193,162,177,177.3,2023
Greg Zuerlein,K1,K13,188,,145,207,180,2023
Marquez Valdes-Scantling,WR,WR67,198,211,215,218,210.5,2023
C.J. Stroud,QB,QB27,196,214,184,252,211.5,2023
Kareem Hunt,RB,RB56,234,186,286,144,212.5,2023
Deon Jackson,RB,RB57,187,225,,139,183.7,2023
Jimmy Garoppolo,QB,QB28,182,230,207,234,213.3,2023
Rashee Rice,WR,WR68,,150,218,188,185.3,2023
Jake Ferguson,TE,TE24,203,203,237,216,214.8,2023
Marvin Mims,WR,WR69,228,182,291,165,216.5,2023
Mike Gesicki,TE,TE25,229,239,194,206,217,2023
Cordarrelle Patterson,RB,RB58,,220,173,178,190.3,2023
Leonard Fournette,RB,RB59,231,242,186,214,218.3,2023
Michael Mayer,TE,TE26,217,191,211,256,218.8,2023
Donovan Peoples-Jones,WR,WR70,,210,235,138,194.3,2023
Tyler Conklin,TE,TE27,186,238,208,257,222.3,2023
Parris Campbell,WR,WR71,189,245,267,190,222.8,2023
Jason Sanders,K1,K14,,161,196,235,197.3,2023
Gus Edwards,RB,RB60,206,233,268,187,223.5,2023
Hunter Renfrow,WR,WR72,178,212,241,268,224.8,2023
Clyde Edwards-Helaire,RB,RB61,,196,204,205,201.7,2023
Hayden Hurst,TE,TE28,235,231,217,225,227,2023
Nick Folk,K1,K15,,227,91,,159,2023
Chuba Hubbard,RB,RB62,,206,253,159,206,2023
Tyjae Spears,RB,RB63,,205,272,146,207.7,2023
Justyn Ross,WR,WR73,218,187,276,242,230.8,2023
Minnesota Vikings,DS,DST19,212,,192,229,211,2023
New York,DS,DST20,224,,146,269,213,2023
Chris Boswell,K1,K16,202,,181,259,214,2023
Wil Lutz,K1,K17,215,,197,241,217.7,2023
Hunter Henry,TE,TE29,227,,216,210,217.7,2023
Jayden Reed,WR,WR74,,218,240,202,220,2023
Tank Dell,WR,WR75,403,183,265,212,265.8,2023
Ryan Tannehill,QB,QB29,222,258,257,224,240.3,2023
Jake Moody,K1,K18,,204,212,246,220.7,2023
Mac Jones,QB,QB30,207,247,214,,222.7,2023
Tampa Bay,DS,DST21,,224,219,226,223,2023
Irv Smith,TE,TE30,470,221,249,200,285,2023
Alec Pierce,WR,WR76,,208,270,201,226.3,2023
Van Jefferson,WR,WR77,,207,,175,191,2023
Curtis Samuel,WR,WR78,,219,225,247,230.3,2023
Los Angeles,DS,DST22,230,,165,,197.5,2023
Carolina Panthers,DS,DST23,174,,222,,198,2023
Detroit Lions,DS,DST24,208,,190,,199,2023
Isaiah Hodgins,WR,WR79,,232,254,215,233.7,2023
Riley Patterson,K1,K19,,,136,267,201.5,2023
Zack Moss,RB,RB64,,234,,173,203.5,2023
Ty Chandler,RB,RB65,,237,,180,208.5,2023
Zamir White,RB,RB66,,223,,196,209.5,2023
DeVante Parker,WR,WR80,,249,226,244,239.7,2023
Baker Mayfield,QB,QB31,211,264,246,,240.3,2023
Greg Joseph,K2,K20,,,164,261,212.5,2023
Los Angeles,DS,DST25,225,,200,,212.5,2023
Eddy Pineiro,K2,K21,,,129,,129,2023
Evan Hull,RB,RB67,,228,,203,215.5,2023
Chase Brown,RB,RB68,,215,290,233,246,2023
Mecole Hardman,WR,WR81,,235,262,245,247.3,2023
Jerome Ford,RB,RB69,,236,,208,222,2023
Chicago Bears,DS,DST26,221,,223,,222,2023
Chase Claypool,WR,WR82,,243,261,240,248,2023
Joshua Kelley,RB,RB70,,274,,171,222.5,2023
Las Vegas,DS,DST27,213,,236,,224.5,2023
Desmond Ridder,QB,QB32,,260,251,239,250,2023
Tennessee Titans,DS,DST28,,222,230,,226,2023
Chase McLaughlin,K2,K22,259,,203,,231,2023
Noah Fant,TE,TE31,,253,210,,231.5,2023
Latavius Murray,RB,RB71,,,256,213,234.5,2023
John Metchie,WR,WR83,,217,,253,235,2023
Trey Lance,QB,QB33,262,278,238,,259.3,2023
Michael Badgley,K2,K23,368,,178,,273,2023
Rashid Shaheed,WR,WR84,,244,285,250,259.7,2023
Matt Prater,K2,K24,239,,243,,241,2023
Robert Woods,WR,WR85,,240,294,249,261,2023
Arizona Cardinals,DS,DST29,237,,247,,242,2023
Isaiah Likely,TE,TE32,,256,260,270,262,2023
Darius Slayton,WR,WR86,,,255,236,245.5,2023
Kyren Williams,RB,RB72,,,,193,193,2023
Sean Tucker,RB,RB73,,,,198,198,2023
Brandon Aubrey,K2,K25,226,,,272,249,2023
Anders Carlson,K2,K26,220,,283,,251.5,2023
Josh Downs,WR,WR87,,241,,263,252,2023
Kyle Juszczyk,RB,RB74,255,,252,,253.5,2023
Cairo Santos,K2,K27,209,,,,209,2023
Darnell Washington,TE,TE33,236,,273,,254.5,2023
Tom Brady,QB,QB34,214,,,,214,2023
Cade Otton,TE,TE34,,282,278,255,271.7,2023
Brett Maher,K2,K28,216,,,,216,2023
Jimmy Graham,TE,TE35,219,,,,219,2023
Wan'Dale Robinson,WR,WR88,,259,,260,259.5,2023
Michael Carter,RB,RB75,,276,244,,260,2023
Keaontay Ingram,RB,RB76,,262,,258,260,2023
Richie James,WR,WR89,343,,,220,281.5,2023
Indianapolis Colts,DS,DST30,315,,221,,268,2023
Puka Nacua,WR,WR90,,268,,262,265,2023
Atlanta Falcons,DS,DST31,,,231,,231,2023
Blake Grupe,K2,K29,232,,,,232,2023
Jermar Jefferson,RB,RB77,233,,,,233,2023
Chad Ryland,K3,K30,238,,295,,266.5,2023
Cade York,K3,K31,328,,233,,280.5,2023
Joey Slye,K3,K32,245,,289,,267,2023
Joshua Palmer,WR,WR91,,,297,238,267.5,2023
Noah Gray,TE,TE36,248,,288,,268,2023
Chase Edmonds,RB,RB78,,,,237,237,2023
Ka'imi Fairbairn,K3,K33,340,,239,,289.5,2023
Malik Cunningham,QB,QB35,241,,,,241,2023
Rob Gronkowski,TE,TE37,242,,,,242,2023
Tanner Brown,K3,K34,243,,,,243,2023
Luke Schoonmaker,TE,TE38,244,,,,244,2023
Houston Texans,DS,DST32,,,245,,245,2023
Robbie Gould,K3,K35,246,,,,246,2023
Bruce Anderson,RB,RB79,,246,,,246,2023
Kyle Allen,QB,QB36,247,,,,247,2023
Henry Litwin,WR,WR92,,248,,,248,2023
Allen Robinson,WR,WR93,,284,,264,274,2023
Jake Bobo,WR,WR94,249,,,,249,2023
Antonio Brown,WR,WR95,250,,,,250,2023
Mason Crosby,K3,K36,251,,,,251,2023
Calvin Austin,WR,WR96,252,,299,,275.5,2023
Trey McBride,TE,TE39,,252,,,252,2023
Blake Bell,TE,TE40,254,,,,254,2023
Jaleel McLaughlin,RB,RB80,,,,254,254,2023
Eric Ebron,TE,TE41,,255,,,255,2023
Trey Palmer,WR,WR97,256,,,,256,2023
Connor Heyward,TE,TE42,257,,,,257,2023
DeWayne McBride,RB,RB81,291,266,,,278.5,2023
Ben Roethlisberger,QB,QB37,258,,,,258,2023
Robert Tonyan,TE,TE43,301,,259,,280,2023
Christopher Dunn,K3,K37,260,,,,260,2023
Max Duggan,QB,QB38,261,,,,261,2023
Christian Trahan,TE,TE44,,261,,,261,2023
Daniel Bellinger,TE,TE45,268,,293,,280.5,2023
Stetson Bennett,QB,QB39,263,,,,263,2023
Israel Abanikanda,RB,RB82,364,263,,,313.5,2023
James Robinson,RB,RB83,443,,263,,353,2023
Adrian Peterson,RB,RB84,264,,,,264,2023
Tristan Vizcaino,K3,K38,,,264,,264,2023
Nikola Kalinic,TE,TE46,,265,,,265,2023
Zack Kuntz,TE,TE47,265,,,,265,2023
Jelani Woods,TE,TE48,,288,277,,282.5,2023
Marvin Jones,WR,WR98,,,266,,266,2023
Mohamed Ibrahim,RB,RB85,266,,,,266,2023
Chase Cota-,WR,WR99,267,,,,267,2023
Austin Watkins,WR,WR100,269,,,,269,2023
Zach Evans,RB,RB86,,270,,,270,2023
Chris Naggar,K3,K39,270,,,,270,2023
Rico Dowdle,RB,RB87,,,,271,271,2023
Armani Rogers,TE,TE49,271,,,,271,2023
John Mitchell,TE,TE50,,271,,,271,2023
C.J. Uzomah,TE,TE51,272,,,,272,2023
Michael Wilson,WR,WR101,,272,,,272,2023
Matt Breida,RB,RB88,,,,273,273,2023
Tucker Kraft,TE,TE52,273,,,,273,2023
Boston Scott,RB,RB89,292,,281,,286.5,2023
Justin Watson,WR,WR102,274,,,,274,2023
Zach Wilson,QB,QB40,275,,,,275,2023
Joseph Ngata,WR,WR103,276,,,,276,2023
Marcus Mariota,QB,QB41,277,,,,277,2023
Ronnie Bell,WR,WR104,278,,,,278,2023
Matt Barkley,QB,QB42,279,,,,279,2023
Logan Thomas,TE,TE53,,,279,,279,2023
Austin Allen,TE,TE54,,279,,,279,2023
Will Dissly,TE,TE55,,,280,,280,2023
Albert Okwuegbunam,TE,TE56,280,,,,280,2023
Rodrigo Blankenship,K4,K40,281,,,,281,2023
Khalil Shakir,WR,WR105,399,281,,,340,2023
Dustin Hopkins,K4,K41,,,282,,282,2023
Deneric Prince,RB,RB90,282,,,,282,2023
Durham Smythe,TE,TE57,283,,,,283,2023
Julio Jones,WR,WR106,284,,,,284,2023
Quez Watkins,WR,WR107,,,284,,284,2023
Mitchell Trubisky,QB,QB43,285,,,,285,2023
Tyquan Thornton,WR,WR108,,285,,,285,2023
Josh Woodrum,QB,QB44,,286,,,286,2023
Equanimeous St.,WR,WR109,286,,,,286,2023
Nick Sciba,K4,K42,287,,,,287,2023
Thomas Greaney,TE,TE58,,287,,,287,2023
Isaiah McKenzie,WR,WR110,490,,287,,388.5,2023
Josh Oliver,TE,TE59,288,,,,288,2023
Jake Browning,QB,QB45,289,,,,289,2023
Pierre Strong,RB,RB91,,289,,,289,2023
Cooper Rush,QB,QB46,290,,,,290,2023
Cole McDonald,QB,QB47,,290,,,290,2023
Terrace Marshall,WR,WR111,,291,,,291,2023
Kyle Lauletta,QB,QB48,,292,,,292,2023
Trenton Irwin,WR,WR112,293,,,,293,2023
Danny Etling,QB,QB49,,294,,,294,2023
Trace McSorley,QB,QB50,294,,,,294,2023
KaVontae Turpin,WR,WR113,295,,,,295,2023
Cam Newton,QB,QB51,296,,,,296,2023
Jauan Jennings,WR,WR114,,,296,,296,2023
Peyton Hendershot,TE,TE60,297,,,,297,2023
Malik Flowers,WR,WR115,,297,,,297,2023
Teddy Bridgewater,QB,QB52,298,,,,298,2023
Sterling Shepard,WR,WR116,,,298,,298,2023
Drew Lock,QB,QB53,299,,,,299,2023
J.J. Taylor,RB,RB92,300,,,,300,2023
Darius Jackson,RB,RB93,,301,,,301,2023
Jack Stoll,TE,TE61,302,,,,302,2023
Troy Fumagalli,TE,TE62,,303,,,303,2023
Sean Clifford,QB,QB54,303,,,,303,2023
Josh Hill,TE,TE63,,304,,,304,2023
Binjimen Victor,WR,WR117,304,,,,304,2023
Devin Duvernay,WR,WR118,310,,300,,305,2023
Levine Toilolo,TE,TE64,,305,,,305,2023
C.J. Ham,RB,RB94,305,,,,305,2023
Charlie Jones,WR,WR119,306,,,,306,2023
Ryan Succop,K4,K43,307,,,,307,2023
Nate Stanley,QB,QB55,,307,,,307,2023
Le'Veon Bell,RB,RB95,308,,,,308,2023
Kaden Smith,TE,TE65,,308,,,308,2023
Marquise Goodwin,WR,WR120,309,,,,309,2023
Nick Bowers,TE,TE66,,309,,,309,2023
Briley Moore,TE,TE67,,310,,,310,2023
Grant DuBose,WR,WR121,311,,,,311,2023
Ross Travis,TE,TE68,,312,,,312,2023
Olamide Zaccheaus,WR,WR122,312,,,,312,2023
Jason Brownlee,WR,WR123,313,,,,313,2023
Derek Watt,RB,RB96,314,,,,314,2023
Matt Bushman,TE,TE69,,314,,,314,2023
Jordan Matthews,TE,TE70,,316,,,316,2023
Hendon Hooker,QB,QB56,316,,,,316,2023
Kahale Warring,TE,TE71,,317,,,317,2023
Brock Wright,TE,TE72,317,,,,317,2023
DaeSean Hamilton,WR,WR124,,318,,,318,2023
Jalen Tolbert,WR,WR125,318,,,,318,2023
Jonnu Smith,TE,TE73,319,,,,319,2023
Jarrett Stidham,QB,QB57,320,,,,320,2023
Andrei Iosivas,WR,WR126,321,,,,321,2023
Jameis Winston,QB,QB58,322,,,,322,2023
D'Vonte Price,RB,RB97,323,,,,323,2023
Blaine Gabbert,QB,QB59,324,,,,324,2023
Patrick Ricard,RB,RB98,325,,,,325,2023
Josh Lambo,K4,K44,326,,,,326,2023
Drew Sample,TE,TE74,327,,,,327,2023
Tyson Bagent,QB,QB60,329,,,,329,2023
Adam Humphries,WR,WR127,330,,,,330,2023
Tre' McKitty,TE,TE75,331,,,,331,2023
Lirim Hajrullahu,K4,K45,332,,,,332,2023
Anthony Brown,QB,QB61,333,,,,333,2023
Matthew Slater,WR,WR128,334,,,,334,2023
Josh Gordon,WR,WR129,335,,,,335,2023
Adam Trautman,TE,TE76,336,,,,336,2023
Roger Carter,TE,TE77,337,,,,337,2023
Gunner Olszewski,WR,WR130,338,,,,338,2023
Dorian Thompson-Robinson,QB,QB62,339,,,,339,2023
Elijah Higgins,TE,TE78,341,,,,341,2023
Randy Bullock,K4,K46,342,,,,342,2023
Elijah Dotson,RB,RB99,344,,,,344,2023
James White,RB,RB100,345,,,,345,2023
Andy Dalton,QB,QB63,346,,,,346,2023
Harrison Bryant,TE,TE79,347,,,,347,2023
Ryan Fitzpatrick,QB,QB64,348,,,,348,2023
Brenton Strange,TE,TE80,349,,,,349,2023
Ray-Ray McCloud,WR,WR131,350,,,,350,2023
Mo Alie-Cox,TE,TE81,351,,,,351,2023
John FitzPatrick,TE,TE82,401,302,,,351.5,2023
Trent Sherfield,WR,WR132,352,,,,352,2023
Cedrick Wilson,WR,WR133,353,,,,353,2023
Julian Hill,TE,TE83,355,,,,355,2023
Dontayvion Wicks,WR,WR134,356,,,,356,2023
Jared Cook,TE,TE84,414,300,,,357,2023
Mitchell Wilcox,TE,TE85,357,,,,357,2023
Xavier Gipson,WR,WR135,358,,,,358,2023
Alec Ingold,RB,RB101,359,,,,359,2023
Devonta Freeman,RB,RB102,360,,,,360,2023
Brycen Hopkins,TE,TE86,361,,,,361,2023
Colby Parkinson,TE,TE87,362,,,,362,2023
John Bates,TE,TE88,363,,,,363,2023
Tre Nixon,WR,WR136,365,,,,365,2023
Josh Adams,RB,RB103,366,,,,366,2023
Eric Gray,RB,RB104,367,,,,367,2023
Aidan O'Connell,QB,QB65,369,,,,369,2023
Hunter Luepke,RB,RB105,370,,,,370,2023
River Cracraft,WR,WR137,371,,,,371,2023
Chris Brooks,RB,RB106,372,,,,372,2023
Jeremy Ruckert,TE,TE89,373,,,,373,2023
Joe Flacco,QB,QB66,374,,,,374,2023
Dyami Brown,WR,WR138,375,,,,375,2023
Amari Rodgers,WR,WR139,376,,,,376,2023
Erik Ezukanma,WR,WR140,377,,,,377,2023
Ross Dwelley,TE,TE90,378,,,,378,2023
Michael Burton,RB,RB107,379,,,,379,2023
Josiah Deguara,TE,TE91,380,,,,380,2023
Scotty Washington,WR,WR141,381,,,,381,2023
Jalen Brooks,WR,WR142,382,,,,382,2023
Ben DiNucci,QB,QB67,383,,,,383,2023
Pharoh Cooper,WR,WR143,453,315,,,384,2023
D'Ernest Johnson,RB,RB108,384,,,,384,2023
Bryce Perkins,QB,QB68,385,,,,385,2023
Malik Heath,WR,WR144,386,,,,386,2023
Brandon Johnson,WR,WR145,387,,,,387,2023
Mason Rudolph,QB,QB69,388,,,,388,2023
Scotty Miller,WR,WR146,389,,,,389,2023
Nelson Agholor,WR,WR147,390,,,,390,2023
David Johnson,RB,RB109,391,,,,391,2023
A.J. Green,WR,WR148,392,,,,392,2023
Antoine Green,WR,WR149,393,,,,393,2023
Brandon Allen,QB,QB70,394,,,,394,2023
Tyrod Taylor,QB,QB71,395,,,,395,2023
